"trial_type","trial_index","plugin_version","time_elapsed","phase","rt","stimulus","response","consented","required_key","view_history","question_order","success","timeout","failed_images","failed_audio","failed_video","set_size","distractor_type","block","stimuli_list","correct","locations","target_present","break_key"
"visual-search-circle","288","2.2.0","901842","visual_search_trial","4071","","j","","","","","","","","","","null","blue_triangle","14","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","false","[[210,216],[246,96],[161,5],[39,33],[3,153],[88,244]]","true",""
"visual-search-circle","289","2.2.0","903892","visual_search_trial","536","","j","","","","","","","","","","null","red_blue_mix","14","[""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png""]","true","[[243,84],[30,42],[101,247]]","false",""
"visual-search-circle","290","2.2.0","907965","visual_search_trial","2555","","j","","","","","","","","","","null","blue_triangle","14","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","false","[[33,39],[96,246],[244,88]]","true",""
"visual-search-circle","291","2.2.0","910287","visual_search_trial","812","","j","","","","","","","","","","null","red_circle","14","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","false","[[6,163],[217,208],[150,2]]","true",""
"html-keyboard-response","292","2.1.0","914297","intermediate_slide_mindfulness","null","<p style='font-size:2.5vw'>You've finished the visual search. Next is the mindfulness survey.</p>","null","","","","","","","","","","","","","","","","",""
"survey-likert","293","2.1.0","1050966","mindfulness_survey","136663","","{""Walking"":1,""Rush"":"""",""Focus"":2,""Names"":1,""Automatic"":1,""Eat"":3,""Multitasking"":2,""Now"":0,""Emotion"":3,""Feelings"":2,""Carelessness"":2,""Attention"":2,""Preoccupied"":1,""Tasks"":0,""Driving"":2}","","","","[3,7,2,5,6,14,10,8,0,4,1,13,12,9,11]","","","","","","","","","","","","",""
"html-keyboard-response","294","2.1.0","1054978","intermediate_slide_ls","null","<p style='font-size:2.5vw'>You've finished the mindfulness survey. Next is the life satisfaction questionnaire.</p>","null","","","","","","","","","","","","","","","","",""
"survey-likert","295","2.1.0","1149503","satisfaction_survey","94522","","{""Conditions"":0,""Ideal"":2,""Change"":3,""Satisfied"":1,""Important"":3}","","","","[1,0,4,2,3]","","","","","","","","","","","","",""
"html-keyboard-response","296","2.1.0","1153511","intermediate_slide_personality","null","<p style='font-size:2.5vw'>You've finished the satisfaction questionnaire. The last survey is a personality questionnaire.</p>","null","","","","","","","","","","","","","","","","",""
"survey-likert","297","2.1.0","1206701","big5_survey","53182","","{""Talkative"":0,""Fault"":2,""Thorough"":2,""Depressed"":0,""Original"":2,""Reserved"":2,""Unselfish"":2,""Careless"":0,""relaxed"":2,""Curious"":2,""Energetic"":1,""Quarrels"":3,""Reliable"":0,""Tense"":3,""Ingenious"":2,""Enthusiastic"":1,""Forgiving"":0,""Disorganzied"":2,""Worries"":0,""imagination"":0,""quiet"":2,""trusting"":0,""Lazy"":2,""stable"":3,""inventive"":0,""Assertive"":2,""aloof"":0,""perservere"":0,""moody"":2,""aesthetic"":1,""shy"":1,""kind"":1,""Efficient"":1,""calm"":1,""routine"":1,""social"":1,""rude"":1,""plans"":1,""Nervous"":1,""reflect"":1,""artistic"":0,""cooperate"":1,""distracted"":1,""sophisticated"":1}","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]","","","","","","","","","","","","",""
"html-button-response","298","2.1.0","1224630","debriefing","17926","
    <div style=""max-width: 900px; margin: 0 auto; padding: 20px; text-align: left; line-height: 1.6;"">
      <h1 style=""text-align: center; color: #333; font-size: 24px; margin-bottom: 10px;"">
        Study Debriefing
      </h1>
      <div style=""text-align: center; font-size: 20px; color: #555; margin-bottom: 30px; font-style: italic;"">
        The Effects of Mindfulness and Attention on Life Satisfaction and Memory
      </div>

      <div style=""background-color: #e3f2fd; border-left: 4px solid #2196F3; padding: 20px; margin: 20px 0;"">
        <h2 style=""margin-top: 0; color: #1976d2; font-size: 20px;"">Thank You for Participating!</h2>
        <p style=""margin-bottom: 0;"">We appreciate your time and effort in completing this study. Your participation helps us better understand the relationship between mindfulness, attention, and well-being.</p>
      </div>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Study Purpose
      </h2>
      <p style=""margin-bottom: 15px;"">The purpose of this study was to examine the relationship between attention, mindfulness, and life satisfaction. Specifically, we wanted to explore whether:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Greater levels of mindfulness (awareness of the present moment) are associated with better attentional control (the ability to focus on specific aspects of the environement while 'tuning out' distractions)</li>
        <li style=""margin-bottom: 8px;"">Mindfulness and attention are related to overall life satisfaction</li>
        <li style=""margin-bottom: 8px;"">These relationships hold across people with different levels of conscientiousness</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        What We Learned from Your Participation
      </h2>
      <p style=""margin-bottom: 15px;"">The visual search task you completed measures your ability to focus attention and efficiently locate target objects among distractors. This basic cognitive ability may be related to mindfulness practices in everyday life.</p>
      
      <p style=""margin-bottom: 15px;"">The questionnaires you completed help us understand your typical level of mindfulness, your satisfaction with life, and your personality characteristics (most importantly, conscientiousness). By combining data from the visual search task with your survey responses, we can examine how mindfulness and attention may relate to experiences at both a large scale (life satisfaction) and small scale (visual attention).</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        How Your Data Will Be Used
      </h2>
      <p style=""margin-bottom: 15px;"">Your anonymous responses will be combined with data from other participants to identify patterns and relationships between mindfulness, attention, and life satisfaction. The results may:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Help inform mental health professionals about the potential benefits of mindfulness practices</li>
        <li style=""margin-bottom: 8px;"">Contribute to educational programs that support student well-being</li>
        <li style=""margin-bottom: 8px;"">Advance our understanding of how everyday awareness relates to cognitive functioning</li>
        <li style=""margin-bottom: 8px;"">Be published in peer-reviewed scientific journals and presented at academic conferences</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Confidentiality Reminder
      </h2>
      <p style=""margin-bottom: 15px;"">All of your responses are completely anonymous, and your data has been assigned a random ID number that we cannot trace back to you. We cannot and will not link your identity to your data in any way. Your privacy is protected throughout all stages of data analysis, storage, and potential publication.</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Questions or Concerns?
      </h2>
      <div style=""background-color: #f0f0f0; padding: 15px; border-left: 4px solid #2196F3; margin: 20px 0;"">
        <p style=""margin-bottom: 10px;"">If you have any questions about this study or would like to learn about the results when they become available, please feel free to contact:</p>
        <p style=""margin-bottom: 15px;"">
          <strong>Principal Investigator:</strong> Ella M. Bremmer<br>
          Email: ebremmer@albany.edu<br><br>
          <strong>Co-Principal Investigator:</strong> Pierce C. Johnson<br>
          Email: pjohnson4@albany.edu<br><br>
          <strong>Faculty Advisor:</strong> Gregory Cox, PhD<br>
          Email: gecox@albany.edu
        </p>
        
        <p style=""margin-bottom: 10px;"">If you have questions about your rights as a research participant, you may contact:</p>
        <p style=""margin-bottom: 0;"">
          Institutional Review Board<br>
          University at Albany<br>
          Phone: 1-866-857-5459<br>
          Email: rco@albany.edu
        </p>
      </div>

      <div style=""background-color: #fff3cd; border: 2px solid #ffc107; border-radius: 5px; padding: 20px; margin-top: 30px;"">
        <h2 style=""margin-top: 0; color: #856404; font-size: 18px;"">Receiving Your SONA Credit</h2>
        <p style=""margin-bottom: 10px; color: #856404;"">By clicking ""Complete Study"" below, you will:</p>
        <ul style=""margin: 10px 0 15px 25px; padding: 0; color: #856404;"">
          <li style=""margin-bottom: 8px;"">Finalize your participation in this study</li>
          <li style=""margin-bottom: 8px;"">Be redirected to SONA to receive your research credit</li>
          <li style=""margin-bottom: 8px;"">Have your participation recorded in the SONA system</li>
        </ul>
        <p style=""margin-bottom: 0; font-weight: bold; color: #856404;"">Thank you again for your contribution to psychological research!</p>
      </div>
    </div>
  ","0","","","","","","","","","","","","","","","","",""
