"trial_type","trial_index","plugin_version","time_elapsed","phase","rt","stimulus","response","consented","required_key","view_history","question_order","success","timeout","failed_images","failed_audio","failed_video","set_size","distractor_type","block","stimuli_list","correct","locations","target_present"
"html-button-response","14","2.1.0","89668","vs_instructions","9582","<p>On the following screens, you will see a series of colored shapes (triangles, squares, and circles) appear.</p>
    <p>Please Press 'F' if there <strong>is</strong> a red triangle among the shapes you see.</p>
    <p>Press 'J' if there is <strong>not</strong> a red triangle among the shapes you see.</p>","0","","","","","","","","","","","","","","","",""
"visual-search-circle","15","2.2.0","93866","visual_search_trial","2676","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[231,191],[248,107],[208,32],[129,0],[48,26],[2,99],[14,183],[78,240],[163,243]]","false"
"visual-search-circle","16","2.2.0","96005","visual_search_trial","634","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[118,249],[200,224],[246,153],[236,68],[173,9],[88,5],[20,56],[0,140],[39,216]]","true"
"visual-search-circle","17","2.2.0","98022","visual_search_trial","511","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[33,210],[244,161],[96,3]]","false"
"visual-search-circle","18","2.2.0","100069","visual_search_trial","540","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[32,208],[243,163],[99,2]]","true"
"visual-search-circle","19","2.2.0","102243","visual_search_trial","661","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[16,187],[125,250],[233,187],[233,62],[125,0],[16,62]]","true"
"visual-search-circle","20","2.2.0","104283","visual_search_trial","534","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[84,243],[207,219],[247,101],[165,6],[42,30],[2,148]]","false"
"visual-search-circle","21","2.2.0","106308","visual_search_trial","519","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[9,171],[223,201],[142,1]]","true"
"visual-search-circle","22","2.2.0","108402","visual_search_trial","587","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[155,246],[226,198],[249,116],[214,38],[138,0],[55,21],[4,90],[10,175],[70,237]]","true"
"visual-search-circle","23","2.2.0","110612","visual_search_trial","697","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png""]","true","[[194,228],[179,12],[0,133]]","true"
"visual-search-circle","24","2.2.0","112726","visual_search_trial","607","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[155,246],[214,38],[4,90]]","false"
"visual-search-circle","25","2.2.0","115200","visual_search_trial","966","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[249,120],[217,41],[142,1],[58,18],[6,86],[9,171],[66,235],[150,247],[223,201]]","false"
"visual-search-circle","26","2.2.0","117168","visual_search_trial","463","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[3,153],[88,244],[210,216],[246,96],[161,5],[39,33]]","false"
"visual-search-circle","27","2.2.0","119448","visual_search_trial","769","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png""]","true","[[208,217],[247,99],[163,6],[41,32],[2,150],[86,243]]","true"
"visual-search-circle","28","2.2.0","121455","visual_search_trial","495","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[27,203],[101,247],[185,234],[241,169],[243,84],[189,17],[105,1],[30,42],[0,122]]","false"
"visual-search-circle","29","2.2.0","123764","visual_search_trial","794","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png""]","true","[[198,23],[74,10],[0,111],[51,226],[175,239],[249,138]]","false"
"visual-search-circle","30","2.2.0","125756","visual_search_trial","483","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[148,247],[243,165],[219,42],[101,2],[6,84],[30,207]]","true"
"visual-search-circle","31","2.2.0","127811","visual_search_trial","550","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png""]","true","[[237,179],[246,94],[198,23],[116,0],[38,35],[0,111],[21,194],[90,245],[175,239]]","true"
"visual-search-circle","32","2.2.0","129757","visual_search_trial","438","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[222,46],[8,80],[144,248]]","false"
"html-keyboard-response","33","2.1.0","133768","intermediate_slide_mindfulness","null","<p style='font-size:2.5vw'>You've finished the visual search. Next is the mindfulness survey.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","34","2.1.0","208262","mindfulness_survey","74489","","{""Attention"":2,""Multitasking"":2,""Eat"":4,""Emotion"":3,""Names"":5,""Preoccupied"":"""",""Focus"":5,""Driving"":5,""Tasks"":3,""Now"":4,""Walking"":0,""Carelessness"":4,""Automatic"":3,""Feelings"":5,""Rush"":1}","","","","[13,10,14,0,5,12,2,11,9,8,3,1,6,4,7]","","","","","","","","","","","",""
"html-keyboard-response","35","2.1.0","212277","intermediate_slide_ls","null","<p style='font-size:2.5vw'>You've finished the mindfulness survey. Next is the life satisfaction questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","36","2.1.0","230645","satisfaction_survey","18366","","{""Ideal"":1,""Important"":1,""Conditions"":1,""Satisfied"":1,""Change"":0}","","","","[0,3,1,2,4]","","","","","","","","","","","",""
"html-keyboard-response","37","2.1.0","234656","intermediate_slide_personality","null","<p style='font-size:2.5vw'>You've finished the satisfaction questionnaire. The last survey is a personality questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","38","2.1.0","343584","big5_survey","108920","","{""Talkative"":4,""Fault"":2,""Thorough"":0,""Depressed"":4,""Original"":1,""Reserved"":3,""Unselfish"":3,""Careless"":3,""relaxed"":1,""Curious"":0,""Energetic"":2,""Quarrels"":2,""Reliable"":1,""Tense"":1,""Ingenious"":0,""Enthusiastic"":2,""Forgiving"":4,""Disorganzied"":4,""Worries"":4,""imagination"":1,""quiet"":0,""trusting"":3,""Lazy"":3,""stable"":1,""inventive"":1,""Assertive"":1,""aloof"":1,""perservere"":1,""moody"":2,""aesthetic"":3,""shy"":2,""kind"":2,""Efficient"":1,""calm"":1,""routine"":0,""social"":3,""rude"":1,""plans"":1,""Nervous"":3,""reflect"":3,""artistic"":1,""cooperate"":3,""distracted"":3,""sophisticated"":3}","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]","","","","","","","","","","","",""
"html-button-response","39","2.1.0","356842","debriefing","13254","
    <div style=""max-width: 900px; margin: 0 auto; padding: 20px; text-align: left; line-height: 1.6;"">
      <h1 style=""text-align: center; color: #333; font-size: 24px; margin-bottom: 10px;"">
        Study Debriefing
      </h1>
      <div style=""text-align: center; font-size: 20px; color: #555; margin-bottom: 30px; font-style: italic;"">
        The Effects of Mindfulness and Attention on Life Satisfaction and Memory
      </div>

      <div style=""background-color: #e3f2fd; border-left: 4px solid #2196F3; padding: 20px; margin: 20px 0;"">
        <h2 style=""margin-top: 0; color: #1976d2; font-size: 20px;"">Thank You for Participating!</h2>
        <p style=""margin-bottom: 0;"">We appreciate your time and effort in completing this study. Your participation helps us better understand the relationship between mindfulness, attention, and well-being.</p>
      </div>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Study Purpose
      </h2>
      <p style=""margin-bottom: 15px;"">The purpose of this study was to examine the relationship between attention, mindfulness, and life satisfaction. Specifically, we wanted to explore whether:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Greater levels of mindfulness (awareness of the present moment) are associated with better attentional control (the ability to focus on specific aspects of the environement while 'tuning out' distractions)</li>
        <li style=""margin-bottom: 8px;"">Mindfulness and attention are related to overall life satisfaction</li>
        <li style=""margin-bottom: 8px;"">These relationships hold across people with different levels of conscientiousness</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        What We Learned from Your Participation
      </h2>
      <p style=""margin-bottom: 15px;"">The visual search task you completed measures your ability to focus attention and efficiently locate target objects among distractors. This basic cognitive ability may be related to mindfulness practices in everyday life.</p>
      
      <p style=""margin-bottom: 15px;"">The questionnaires you completed help us understand your typical level of mindfulness, your satisfaction with life, and your personality characteristics (most importantly, conscientiousness). By combining data from the visual search task with your survey responses, we can examine how mindfulness and attention may relate to experiences at both a large scale (life satisfaction) and small scale (visual attention).</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        How Your Data Will Be Used
      </h2>
      <p style=""margin-bottom: 15px;"">Your anonymous responses will be combined with data from other participants to identify patterns and relationships between mindfulness, attention, and life satisfaction. The results may:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Help inform mental health professionals about the potential benefits of mindfulness practices</li>
        <li style=""margin-bottom: 8px;"">Contribute to educational programs that support student well-being</li>
        <li style=""margin-bottom: 8px;"">Advance our understanding of how everyday awareness relates to cognitive functioning</li>
        <li style=""margin-bottom: 8px;"">Be published in peer-reviewed scientific journals and presented at academic conferences</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Confidentiality Reminder
      </h2>
      <p style=""margin-bottom: 15px;"">All of your responses are completely anonymous, and your data has been assigned a random ID number that we cannot trace back to you. We cannot and will not link your identity to your data in any way. Your privacy is protected throughout all stages of data analysis, storage, and potential publication.</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Questions or Concerns?
      </h2>
      <div style=""background-color: #f0f0f0; padding: 15px; border-left: 4px solid #2196F3; margin: 20px 0;"">
        <p style=""margin-bottom: 10px;"">If you have any questions about this study or would like to learn about the results when they become available, please feel free to contact:</p>
        <p style=""margin-bottom: 15px;"">
          <strong>Principal Investigator:</strong> Ella M. Bremmer<br>
          Email: ebremmer@albany.edu<br><br>
          <strong>Co-Principal Investigator:</strong> Pierce C. Johnson<br>
          Email: pjohnson4@albany.edu<br><br>
          <strong>Faculty Advisor:</strong> Gregory Cox, PhD<br>
          Email: gecox@albany.edu
        </p>
        
        <p style=""margin-bottom: 10px;"">If you have questions about your rights as a research participant, you may contact:</p>
        <p style=""margin-bottom: 0;"">
          Institutional Review Board<br>
          University at Albany<br>
          Phone: 1-866-857-5459<br>
          Email: rco@albany.edu
        </p>
      </div>

      <div style=""background-color: #fff3cd; border: 2px solid #ffc107; border-radius: 5px; padding: 20px; margin-top: 30px;"">
        <h2 style=""margin-top: 0; color: #856404; font-size: 18px;"">Receiving Your SONA Credit</h2>
        <p style=""margin-bottom: 10px; color: #856404;"">By clicking ""Complete Study"" below, you will:</p>
        <ul style=""margin: 10px 0 15px 25px; padding: 0; color: #856404;"">
          <li style=""margin-bottom: 8px;"">Finalize your participation in this study</li>
          <li style=""margin-bottom: 8px;"">Be redirected to SONA to receive your research credit</li>
          <li style=""margin-bottom: 8px;"">Have your participation recorded in the SONA system</li>
        </ul>
        <p style=""margin-bottom: 0; font-weight: bold; color: #856404;"">Thank you again for your contribution to psychological research!</p>
      </div>
    </div>
  ","0","","","","","","","","","","","","","","","",""
