"trial_type","trial_index","plugin_version","time_elapsed","phase","rt","stimulus","response","consented","required_key","view_history","question_order","success","timeout","failed_images","failed_audio","failed_video","set_size","distractor_type","block","stimuli_list","correct","locations","target_present"
"visual-search-circle","22","2.2.0","98667","visual_search_trial","1050","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[198,23],[116,0],[38,35],[0,111],[21,194],[90,245],[175,239],[237,179],[246,94]]","false"
"visual-search-circle","23","2.2.0","100770","visual_search_trial","584","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png""]","true","[[198,23],[116,0],[38,35],[0,111],[21,194],[90,245],[175,239],[237,179],[246,94]]","true"
"visual-search-circle","24","2.2.0","103619","visual_search_trial","1342","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[16,187],[125,250],[233,187],[233,62],[125,0],[16,62]]","true"
"visual-search-circle","25","2.2.0","106036","visual_search_trial","910","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[48,223],[248,142],[78,9]]","true"
"visual-search-circle","26","2.2.0","108569","visual_search_trial","1026","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[244,88],[33,39],[96,246]]","true"
"visual-search-circle","27","2.2.0","110597","visual_search_trial","507","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[66,14],[9,78],[6,163],[58,231],[142,248],[217,208],[249,129],[223,48],[150,2]]","false"
"visual-search-circle","28","2.2.0","112894","visual_search_trial","779","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[248,103],[167,7],[44,29],[1,146],[82,242],[205,220]]","false"
"visual-search-circle","29","2.2.0","115299","visual_search_trial","896","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[1,142],[41,217],[120,249],[201,223],[247,150],[235,66],[171,9],[86,6],[18,58]]","true"
"visual-search-circle","30","2.2.0","117932","visual_search_trial","1116","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[177,11],[92,4],[22,53],[0,135],[36,213],[114,249],[196,227],[245,157],[238,72]]","true"
"visual-search-circle","31","2.2.0","122762","visual_search_trial","3310","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Blue_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png""]","true","[[249,118],[216,39],[140,0],[56,20],[5,88],[9,173],[68,236],[153,246],[224,200]]","false"
"visual-search-circle","32","2.2.0","125015","visual_search_trial","735","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[161,244],[246,153],[210,33],[88,5],[3,96],[39,216]]","false"
"html-keyboard-response","33","2.1.0","129030","intermediate_slide_mindfulness","null","<p style='font-size:2.5vw'>You've finished the visual search. Next is the mindfulness survey.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","34","2.1.0","225348","mindfulness_survey","96314","","{""Focus"":2,""Names"":1,""Feelings"":3,""Driving"":5,""Rush"":5,""Tasks"":3,""Eat"":5,""Walking"":2,""Multitasking"":1,""Automatic"":5,""Preoccupied"":2,""Emotion"":3,""Attention"":2,""Carelessness"":5,""Now"":5}","","","","[2,5,4,11,7,9,14,3,10,6,12,0,13,1,8]","","","","","","","","","","","",""
"html-keyboard-response","35","2.1.0","229352","intermediate_slide_ls","null","<p style='font-size:2.5vw'>You've finished the mindfulness survey. Next is the life satisfaction questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","36","2.1.0","252463","satisfaction_survey","23108","","{""Satisfied"":1,""Change"":2,""Conditions"":1,""Important"":1,""Ideal"":0}","","","","[2,4,1,3,0]","","","","","","","","","","","",""
"html-keyboard-response","37","2.1.0","256470","intermediate_slide_personality","null","<p style='font-size:2.5vw'>You've finished the satisfaction questionnaire. The last survey is a personality questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","38","2.1.0","406402","big5_survey","149916","","{""Talkative"":2,""Fault"":4,""Thorough"":1,""Depressed"":4,""Original"":1,""Reserved"":1,""Unselfish"":0,""Careless"":1,""relaxed"":2,""Curious"":0,""Energetic"":2,""Quarrels"":4,""Reliable"":1,""Tense"":4,""Ingenious"":1,""Enthusiastic"":2,""Forgiving"":0,""Disorganzied"":1,""Worries"":1,""imagination"":0,""quiet"":1,""trusting"":0,""Lazy"":1,""stable"":1,""inventive"":2,""Assertive"":2,""aloof"":4,""perservere"":0,""moody"":1,""aesthetic"":0,""shy"":1,""kind"":0,""Efficient"":0,""calm"":1,""routine"":0,""social"":2,""rude"":4,""plans"":0,""Nervous"":1,""reflect"":1,""artistic"":0,""cooperate"":1,""distracted"":2,""sophisticated"":1}","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]","","","","","","","","","","","",""
"html-button-response","39","2.1.0","417100","debriefing","10695","
    <div style=""max-width: 900px; margin: 0 auto; padding: 20px; text-align: left; line-height: 1.6;"">
      <h1 style=""text-align: center; color: #333; font-size: 24px; margin-bottom: 10px;"">
        Study Debriefing
      </h1>
      <div style=""text-align: center; font-size: 20px; color: #555; margin-bottom: 30px; font-style: italic;"">
        The Effects of Mindfulness and Attention on Life Satisfaction and Memory
      </div>

      <div style=""background-color: #e3f2fd; border-left: 4px solid #2196F3; padding: 20px; margin: 20px 0;"">
        <h2 style=""margin-top: 0; color: #1976d2; font-size: 20px;"">Thank You for Participating!</h2>
        <p style=""margin-bottom: 0;"">We appreciate your time and effort in completing this study. Your participation helps us better understand the relationship between mindfulness, attention, and well-being.</p>
      </div>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Study Purpose
      </h2>
      <p style=""margin-bottom: 15px;"">The purpose of this study was to examine the relationship between attention, mindfulness, and life satisfaction. Specifically, we wanted to explore whether:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Greater levels of mindfulness (awareness of the present moment) are associated with better attentional control (the ability to focus on specific aspects of the environement while 'tuning out' distractions)</li>
        <li style=""margin-bottom: 8px;"">Mindfulness and attention are related to overall life satisfaction</li>
        <li style=""margin-bottom: 8px;"">These relationships hold across people with different levels of conscientiousness</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        What We Learned from Your Participation
      </h2>
      <p style=""margin-bottom: 15px;"">The visual search task you completed measures your ability to focus attention and efficiently locate target objects among distractors. This basic cognitive ability may be related to mindfulness practices in everyday life.</p>
      
      <p style=""margin-bottom: 15px;"">The questionnaires you completed help us understand your typical level of mindfulness, your satisfaction with life, and your personality characteristics (most importantly, conscientiousness). By combining data from the visual search task with your survey responses, we can examine how mindfulness and attention may relate to experiences at both a large scale (life satisfaction) and small scale (visual attention).</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        How Your Data Will Be Used
      </h2>
      <p style=""margin-bottom: 15px;"">Your anonymous responses will be combined with data from other participants to identify patterns and relationships between mindfulness, attention, and life satisfaction. The results may:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Help inform mental health professionals about the potential benefits of mindfulness practices</li>
        <li style=""margin-bottom: 8px;"">Contribute to educational programs that support student well-being</li>
        <li style=""margin-bottom: 8px;"">Advance our understanding of how everyday awareness relates to cognitive functioning</li>
        <li style=""margin-bottom: 8px;"">Be published in peer-reviewed scientific journals and presented at academic conferences</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Confidentiality Reminder
      </h2>
      <p style=""margin-bottom: 15px;"">All of your responses are completely anonymous, and your data has been assigned a random ID number that we cannot trace back to you. We cannot and will not link your identity to your data in any way. Your privacy is protected throughout all stages of data analysis, storage, and potential publication.</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Questions or Concerns?
      </h2>
      <div style=""background-color: #f0f0f0; padding: 15px; border-left: 4px solid #2196F3; margin: 20px 0;"">
        <p style=""margin-bottom: 10px;"">If you have any questions about this study or would like to learn about the results when they become available, please feel free to contact:</p>
        <p style=""margin-bottom: 15px;"">
          <strong>Principal Investigator:</strong> Ella M. Bremmer<br>
          Email: ebremmer@albany.edu<br><br>
          <strong>Co-Principal Investigator:</strong> Pierce C. Johnson<br>
          Email: pjohnson4@albany.edu<br><br>
          <strong>Faculty Advisor:</strong> Gregory Cox, PhD<br>
          Email: gecox@albany.edu
        </p>
        
        <p style=""margin-bottom: 10px;"">If you have questions about your rights as a research participant, you may contact:</p>
        <p style=""margin-bottom: 0;"">
          Institutional Review Board<br>
          University at Albany<br>
          Phone: 1-866-857-5459<br>
          Email: rco@albany.edu
        </p>
      </div>

      <div style=""background-color: #fff3cd; border: 2px solid #ffc107; border-radius: 5px; padding: 20px; margin-top: 30px;"">
        <h2 style=""margin-top: 0; color: #856404; font-size: 18px;"">Receiving Your SONA Credit</h2>
        <p style=""margin-bottom: 10px; color: #856404;"">By clicking ""Complete Study"" below, you will:</p>
        <ul style=""margin: 10px 0 15px 25px; padding: 0; color: #856404;"">
          <li style=""margin-bottom: 8px;"">Finalize your participation in this study</li>
          <li style=""margin-bottom: 8px;"">Be redirected to SONA to receive your research credit</li>
          <li style=""margin-bottom: 8px;"">Have your participation recorded in the SONA system</li>
        </ul>
        <p style=""margin-bottom: 0; font-weight: bold; color: #856404;"">Thank you again for your contribution to psychological research!</p>
      </div>
    </div>
  ","0","","","","","","","","","","","","","","","",""
