"trial_type","trial_index","plugin_version","time_elapsed","phase","rt","stimulus","response","consented","required_key","view_history","question_order","success","timeout","failed_images","failed_audio","failed_video","set_size","distractor_type","block","stimuli_list","correct","locations","target_present"
"html-button-response","14","2.1.0","55743","vs_instructions","9087","<p>On the following screens, you will see a series of colored shapes (triangles, squares, and circles) appear.</p>
    <p>Please Press 'F' if there <strong>is</strong> a red triangle among the shapes you see.</p>
    <p>Press 'J' if there is <strong>not</strong> a red triangle among the shapes you see.</p>","0","","","","","","","","","","","","","","","",""
"visual-search-circle","15","2.2.0","62340","visual_search_trial","5078","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[1,103],[16,187],[82,242],[167,242],[233,187],[248,103],[205,29],[125,0],[44,29]]","true"
"visual-search-circle","16","2.2.0","65880","visual_search_trial","2025","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[7,82],[146,248],[220,44]]","false"
"visual-search-circle","17","2.2.0","69984","visual_search_trial","2592","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[241,169],[105,1],[27,203]]","false"
"visual-search-circle","18","2.2.0","73322","visual_search_trial","1818","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png""]","true","[[236,181],[246,96],[200,25],[118,0],[39,33],[0,109],[20,193],[88,244],[173,240]]","false"
"visual-search-circle","19","2.2.0","76306","visual_search_trial","1464","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[249,138],[228,55],[159,4],[74,10],[12,70],[3,155],[51,226],[133,249],[211,214]]","false"
"visual-search-circle","20","2.2.0","81797","visual_search_trial","3982","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[0,111],[51,226],[175,239],[249,138],[198,23],[74,10]]","true"
"visual-search-circle","21","2.2.0","84999","visual_search_trial","1683","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png""]","true","[[231,191],[235,66],[129,0],[18,58],[14,183],[120,249]]","true"
"visual-search-circle","22","2.2.0","88109","visual_search_trial","1600","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[171,9],[48,26],[1,142],[78,240],[201,223],[248,107]]","true"
"visual-search-circle","23","2.2.0","92368","visual_search_trial","2745","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[214,38],[4,90],[155,246]]","false"
"visual-search-circle","24","2.2.0","94951","visual_search_trial","1074","","j","","","","","","","","","","null","red_blue_mix","0","[""images/Blue_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[200,224],[249,109],[173,9],[49,25],[0,140],[76,240]]","false"
"visual-search-circle","25","2.2.0","97745","visual_search_trial","1275","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[3,155],[211,214],[159,4]]","true"
"visual-search-circle","26","2.2.0","100704","visual_search_trial","1440","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Red_Circle.png"",""images/Blue_Triangle.png"",""images/Blue_Circle.png"",""images/Red_Circle.png"",""images/Blue_Circle.png""]","true","[[208,217],[248,142],[231,58],[163,6],[78,9],[14,66],[2,150],[48,223],[129,249]]","true"
"visual-search-circle","27","2.2.0","103929","visual_search_trial","1720","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[4,159],[94,246],[214,211],[245,90],[155,3],[35,38]]","false"
"visual-search-circle","28","2.2.0","106505","visual_search_trial","1065","","f","","","","","","","","","","null","blue_triangle","0","[""images/Red_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[223,201],[249,120],[217,41],[142,1],[58,18],[6,86],[9,171],[66,235],[150,247]]","true"
"visual-search-circle","29","2.2.0","108938","visual_search_trial","918","","j","","","","","","","","","","null","red_circle","0","[""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[159,4],[74,10],[12,70],[3,155],[51,226],[133,249],[211,214],[249,138],[228,55]]","false"
"visual-search-circle","30","2.2.0","111609","visual_search_trial","1152","","j","","","","","","","","","","null","blue_triangle","0","[""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png"",""images/Blue_Triangle.png""]","true","[[142,248],[240,171],[223,48],[107,1],[9,78],[26,201]]","false"
"visual-search-circle","31","2.2.0","114281","visual_search_trial","1168","","f","","","","","","","","","","null","red_blue_mix","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[203,222],[169,8],[1,144]]","true"
"visual-search-circle","32","2.2.0","117211","visual_search_trial","1423","","f","","","","","","","","","","null","red_circle","0","[""images/Red_Triangle.png"",""images/Red_Circle.png"",""images/Red_Circle.png""]","true","[[120,0],[18,191],[235,183]]","true"
"html-keyboard-response","33","2.1.0","121226","intermediate_slide_mindfulness","null","<p style='font-size:2.5vw'>You've finished the visual search. Next is the mindfulness survey.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","34","2.1.0","206981","mindfulness_survey","85747","","{""Preoccupied"":2,""Focus"":4,""Attention"":2,""Driving"":5,""Eat"":5,""Automatic"":3,""Multitasking"":1,""Names"":2,""Emotion"":4,""Walking"":2,""Rush"":5,""Carelessness"":5,""Tasks"":4,""Now"":5,""Feelings"":4}","","","","[12,2,13,11,14,6,10,5,0,3,7,1,9,8,4]","","","","","","","","","","","",""
"html-keyboard-response","35","2.1.0","210992","intermediate_slide_ls","null","<p style='font-size:2.5vw'>You've finished the mindfulness survey. Next is the life satisfaction questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","36","2.1.0","235690","satisfaction_survey","24695","","{""Change"":3,""Ideal"":1,""Important"":1,""Satisfied"":0,""Conditions"":0}","","","","[4,0,3,2,1]","","","","","","","","","","","",""
"html-keyboard-response","37","2.1.0","239694","intermediate_slide_personality","null","<p style='font-size:2.5vw'>You've finished the satisfaction questionnaire. The last survey is a personality questionnaire.</p>","null","","","","","","","","","","","","","","","",""
"survey-likert","38","2.1.0","414559","big5_survey","174855","","{""Talkative"":1,""Fault"":2,""Thorough"":0,""Depressed"":4,""Original"":1,""Reserved"":2,""Unselfish"":0,""Careless"":3,""relaxed"":2,""Curious"":0,""Energetic"":2,""Quarrels"":4,""Reliable"":1,""Tense"":2,""Ingenious"":1,""Enthusiastic"":2,""Forgiving"":0,""Disorganzied"":1,""Worries"":2,""imagination"":1,""quiet"":1,""trusting"":1,""Lazy"":2,""stable"":1,""inventive"":2,""Assertive"":2,""aloof"":4,""perservere"":0,""moody"":1,""aesthetic"":0,""shy"":1,""kind"":0,""Efficient"":0,""calm"":1,""routine"":0,""social"":1,""rude"":3,""plans"":0,""Nervous"":1,""reflect"":1,""artistic"":0,""cooperate"":1,""distracted"":3,""sophisticated"":0}","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44]","","","","","","","","","","","",""
"html-button-response","39","2.1.0","425260","debriefing","10699","
    <div style=""max-width: 900px; margin: 0 auto; padding: 20px; text-align: left; line-height: 1.6;"">
      <h1 style=""text-align: center; color: #333; font-size: 24px; margin-bottom: 10px;"">
        Study Debriefing
      </h1>
      <div style=""text-align: center; font-size: 20px; color: #555; margin-bottom: 30px; font-style: italic;"">
        The Effects of Mindfulness and Attention on Life Satisfaction and Memory
      </div>

      <div style=""background-color: #e3f2fd; border-left: 4px solid #2196F3; padding: 20px; margin: 20px 0;"">
        <h2 style=""margin-top: 0; color: #1976d2; font-size: 20px;"">Thank You for Participating!</h2>
        <p style=""margin-bottom: 0;"">We appreciate your time and effort in completing this study. Your participation helps us better understand the relationship between mindfulness, attention, and well-being.</p>
      </div>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Study Purpose
      </h2>
      <p style=""margin-bottom: 15px;"">The purpose of this study was to examine the relationship between attention, mindfulness, and life satisfaction. Specifically, we wanted to explore whether:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Greater levels of mindfulness (awareness of the present moment) are associated with better attentional control (the ability to focus on specific aspects of the environement while 'tuning out' distractions)</li>
        <li style=""margin-bottom: 8px;"">Mindfulness and attention are related to overall life satisfaction</li>
        <li style=""margin-bottom: 8px;"">These relationships hold across people with different levels of conscientiousness</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        What We Learned from Your Participation
      </h2>
      <p style=""margin-bottom: 15px;"">The visual search task you completed measures your ability to focus attention and efficiently locate target objects among distractors. This basic cognitive ability may be related to mindfulness practices in everyday life.</p>
      
      <p style=""margin-bottom: 15px;"">The questionnaires you completed help us understand your typical level of mindfulness, your satisfaction with life, and your personality characteristics (most importantly, conscientiousness). By combining data from the visual search task with your survey responses, we can examine how mindfulness and attention may relate to experiences at both a large scale (life satisfaction) and small scale (visual attention).</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        How Your Data Will Be Used
      </h2>
      <p style=""margin-bottom: 15px;"">Your anonymous responses will be combined with data from other participants to identify patterns and relationships between mindfulness, attention, and life satisfaction. The results may:</p>
      <ul style=""margin: 10px 0 15px 25px; padding: 0;"">
        <li style=""margin-bottom: 8px;"">Help inform mental health professionals about the potential benefits of mindfulness practices</li>
        <li style=""margin-bottom: 8px;"">Contribute to educational programs that support student well-being</li>
        <li style=""margin-bottom: 8px;"">Advance our understanding of how everyday awareness relates to cognitive functioning</li>
        <li style=""margin-bottom: 8px;"">Be published in peer-reviewed scientific journals and presented at academic conferences</li>
      </ul>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Confidentiality Reminder
      </h2>
      <p style=""margin-bottom: 15px;"">All of your responses are completely anonymous, and your data has been assigned a random ID number that we cannot trace back to you. We cannot and will not link your identity to your data in any way. Your privacy is protected throughout all stages of data analysis, storage, and potential publication.</p>

      <h2 style=""color: #555; font-size: 20px; margin-top: 30px; border-bottom: 2px solid #e0e0e0; padding-bottom: 8px;"">
        Questions or Concerns?
      </h2>
      <div style=""background-color: #f0f0f0; padding: 15px; border-left: 4px solid #2196F3; margin: 20px 0;"">
        <p style=""margin-bottom: 10px;"">If you have any questions about this study or would like to learn about the results when they become available, please feel free to contact:</p>
        <p style=""margin-bottom: 15px;"">
          <strong>Principal Investigator:</strong> Ella M. Bremmer<br>
          Email: ebremmer@albany.edu<br><br>
          <strong>Co-Principal Investigator:</strong> Pierce C. Johnson<br>
          Email: pjohnson4@albany.edu<br><br>
          <strong>Faculty Advisor:</strong> Gregory Cox, PhD<br>
          Email: gecox@albany.edu
        </p>
        
        <p style=""margin-bottom: 10px;"">If you have questions about your rights as a research participant, you may contact:</p>
        <p style=""margin-bottom: 0;"">
          Institutional Review Board<br>
          University at Albany<br>
          Phone: 1-866-857-5459<br>
          Email: rco@albany.edu
        </p>
      </div>

      <div style=""background-color: #fff3cd; border: 2px solid #ffc107; border-radius: 5px; padding: 20px; margin-top: 30px;"">
        <h2 style=""margin-top: 0; color: #856404; font-size: 18px;"">Receiving Your SONA Credit</h2>
        <p style=""margin-bottom: 10px; color: #856404;"">By clicking ""Complete Study"" below, you will:</p>
        <ul style=""margin: 10px 0 15px 25px; padding: 0; color: #856404;"">
          <li style=""margin-bottom: 8px;"">Finalize your participation in this study</li>
          <li style=""margin-bottom: 8px;"">Be redirected to SONA to receive your research credit</li>
          <li style=""margin-bottom: 8px;"">Have your participation recorded in the SONA system</li>
        </ul>
        <p style=""margin-bottom: 0; font-weight: bold; color: #856404;"">Thank you again for your contribution to psychological research!</p>
      </div>
    </div>
  ","0","","","","","","","","","","","","","","","",""
